experiment_name,model_type,tokenization_level,ngram-n,smoothing,vocabsize,val_perplexity,dev_perplexity,test_perplexity,dev_wer
e_2024-03-18 12:06:05,n_gram,word,1,,30002,1411.8549433799644,2163.746039410455,2163.746039410455,0.12026726057906459
e_2024-03-18 12:06:36,n_gram,word,1,True,30002,1475.8720332213873,2318.9122804911244,2318.9122804911244,0.12026726057906459
e_2024-03-18 12:11:06,n_gram,word,2,,284341,57392.871524852795,1040.0470569089127,1040.0470569089127,0.12472160356347439
e_2024-03-18 12:35:27,n_gram,word,2,True,284341,655.5808369870847,3.16762623044668,3.16762623044668,0.12472160356347439
e_2024-03-18 12:46:12,n_gram,word,3,,712706,153208278.5056724,1433.3430211289922,1433.3430211289922,0.12026726057906459
e_2024-03-19 10:55:04,n_gram,word,1,linearinterpolation,29840,1464.936304507302,1022.1899931876651,1022.1899931876651,0.12026726057906459
e_2024-03-19 10:59:56,n_gram,word,1,linearinterpolation,29840,1464.936304507302,1022.1899931876651,1022.1899931876651,0.12026726057906459
e_2024-03-19 11:08:02,n_gram,word,2,linearinterpolation,283625,270.38097287632837,92.0902631203906,92.0902631203906,0.11581291759465479
e_2024-03-19 11:27:26,n_gram,word,3,linearinterpolation,740394,204.64363536802327,23.574611383931313,23.574611383931313,0.11581291759465479
e_2024-03-18 12:01:58,n_gram,subword,1,,73,22.1046402365082,22.082529544088572,22.17807939992046,0.0935412026726058
e_2024-03-18 12:02:14,n_gram,subword,1,True,73,23.00620615928121,22.984932069476848,23.065471616067786,0.10022271714922049
e_2024-03-18 12:02:37,n_gram,subword,2,,1325,7.67703526665026,7.6427259430533105,7.667184344499014,0.10244988864142539
e_2024-03-18 12:03:00,n_gram,subword,2,True,1325,0.3454039356963425,0.34425355325087914,0.343920985954393,0.10244988864142539
e_2024-03-18 12:03:26,n_gram,subword,3,,11084,4.552708645700398,4.555775018518048,4.540760168033363,0.11581291759465479
e_2024-03-18 12:03:54,n_gram,subword,3,True,11084,0.5919881642257239,0.5956738227606783,0.5917441918999967,0.1091314031180401
e_2024-03-19 10:53:39,n_gram,subword,1,linearinterpolation,74,22.104644339243787,22.08253364272011,22.178083516276292,0.0935412026726058
e_2024-03-19 10:53:59,n_gram,subword,2,linearinterpolation,1326,8.711048443488258,8.676098507904525,8.6924264614058,0.10690423162583519
e_2024-03-19 10:54:25,n_gram,subword,3,linearinterpolation,11158,5.022061699231935,5.00445132559379,5.001183769732123,0.08908685968819599
e_2024-03-19 10:58:33,n_gram,subword,1,linearinterpolation,74,22.104644339243787,22.08253364272011,22.178083516276292,0.0935412026726058
e_2024-03-19 10:58:53,n_gram,subword,2,linearinterpolation,1326,8.711048443488258,8.676098507904525,8.6924264614058,0.10690423162583519
e_2024-03-19 10:59:19,n_gram,subword,3,linearinterpolation,11158,5.022061699231935,5.00445132559379,5.001183769732123,0.08908685968819599
e_2024-03-17 03:59:13,n_gram,character,1,False,34,17.691791918937373,21.49084693542506,21.49084693542506,0.10022271714922049
e_2024-03-18 11:57:41,n_gram,character,1,,34,17.691791918937373,21.49084693542506,21.49084693542506,0.10022271714922049
e_2024-03-18 11:58:17,n_gram,character,1,True,34,18.194437726222294,21.866545220459535,21.866545220459535,0.10022271714922049
e_2024-03-18 11:59:03,n_gram,character,2,,761,10.87397894612831,17.48932434073875,17.48932434073875,0.10022271714922049
e_2024-03-18 11:59:48,n_gram,character,2,True,761,0.6012039828700491,0.784870532564015,0.784870532564015,0.10244988864142539
e_2024-03-18 12:00:44,n_gram,character,3,,9457,6.992005190271571,31.641204180401616,31.641204180401616,0.08685968819599109
e_2024-03-18 12:01:41,n_gram,character,3,True,9457,0.6512332351499813,2.0388371691433296,2.0388371691433296,0.09799554565701558
e_2024-03-19 03:50:41,n_gram,character,1,none,35,17.691796639474042,21.490852669636716,21.490852669636716,0.10022271714922049
e_2024-03-19 03:51:00,n_gram,character,1,laplace,35,17.691401487763834,21.49074850709625,21.49074850709625,0.10022271714922049
e_2024-03-19 03:51:31,n_gram,character,1,linearinterpolation,35,4.720652124534994e-06,5.734235637556349e-06,5.734235637556349e-06,0.15367483296213807
e_2024-03-19 03:51:55,n_gram,character,2,none,762,10.87397894612831,17.48932434073875,17.48932434073875,0.10022271714922049
e_2024-03-19 03:52:19,n_gram,character,2,laplace,762,10.932093681092956,17.49754117236052,17.49754117236052,0.10022271714922049
e_2024-03-19 03:53:03,n_gram,character,2,linearinterpolation,762,11.088398757748841,15.104109970800154,15.104109970800154,0.0957683741648107
e_2024-03-19 10:51:00,n_gram,character,1,linearinterpolation,35,17.691796639474042,21.490852669636716,21.490852669636716,0.10022271714922049
e_2024-03-19 10:52:13,n_gram,character,2,linearinterpolation,762,11.088398757748841,15.104109970800154,15.104109970800154,0.0957683741648107
e_2024-03-19 10:53:30,n_gram,character,3,linearinterpolation,9492,7.487501133417316,11.258765471407147,11.258765471407147,0.08240534521158129
e_2024-03-19 10:56:43,n_gram,character,1,linearinterpolation,35,17.691796639474042,21.490852669636716,21.490852669636716,0.10022271714922049
e_2024-03-19 10:57:28,n_gram,character,2,linearinterpolation,762,11.088398757748841,15.104109970800154,15.104109970800154,0.0957683741648107
e_2024-03-19 10:58:23,n_gram,character,3,linearinterpolation,9492,7.487501133417316,11.258765471407147,11.258765471407147,0.08240534521158129
e_2024-03-19 13:46:11,n_gram,character,1,none,34,17.691791918937373,21.49084693542506,21.49084693542506,0.10022271714922049
e_2024-03-19 13:46:50,n_gram,character,1,laplace,34,17.691392046974848,21.49073703883451,21.49073703883451,0.10022271714922049
e_2024-03-19 13:51:45,n_gram,character,1,none,34,17.691791918937373,21.49084693542506,21.49084693542506,0.10022271714922049
e_2024-03-19 13:52:23,n_gram,character,1,laplace,34,17.691392046974848,21.49073703883451,21.49073703883451,0.10022271714922049
e_2024-03-19 13:53:00,n_gram,character,1,idkwhatthisis,34,18.194437726222294,21.866545220459535,21.866545220459535,0.10022271714922049
e_2024-03-19 13:53:48,n_gram,character,2,none,761,10.87397894612831,17.48932434073875,17.48932434073875,0.10022271714922049
e_2024-03-19 13:54:37,n_gram,character,2,laplace,761,10.932013967248198,17.497395366881815,17.497395366881815,0.10022271714922049
e_2024-03-19 13:56:11,n_gram,character,2,linearinterpolation,762,11.088398757748841,15.104109970800154,15.104109970800154,0.0957683741648107
e_2024-03-19 13:56:59,n_gram,character,2,idkwhatthisis,761,0.6012039828700491,0.784870532564015,0.784870532564015,0.10244988864142539
e_2024-03-19 13:57:58,n_gram,character,3,none,9457,6.992005190271571,31.641204180401616,31.641204180401616,0.08685968819599109
e_2024-03-19 13:58:58,n_gram,character,3,laplace,9457,11.778494845982463,42.88553027438475,42.88553027438475,0.09131403118040089
e_2024-03-19 14:02:07,n_gram,character,3,linearinterpolation,9492,7.487501133417316,11.258765471407147,11.258765471407147,0.08240534521158129
e_2024-03-19 14:03:05,n_gram,character,3,idkwhatthisis,9457,0.6512332351499813,2.0388371691433296,2.0388371691433296,0.09799554565701558
